,Unnamed: 0,item,condition,sentence,target,alternative,lstmccgjoint 0 correct (max),lstmccgjoint 0 correct (sample),lstmccgjoint 0 target score,lstmccgjoint 0 alternative score,lstmccgjoint 1 correct (max),lstmccgjoint 1 correct (sample),lstmccgjoint 1 target score,lstmccgjoint 1 alternative score,lstmccgjoint 2 correct (max),lstmccgjoint 2 correct (sample),lstmccgjoint 2 target score,lstmccgjoint 2 alternative score,lstmccgjoint 3 correct (max),lstmccgjoint 3 correct (sample),lstmccgjoint 3 target score,lstmccgjoint 3 alternative score,lstmccgjoint 4 correct (max),lstmccgjoint 4 correct (sample),lstmccgjoint 4 target score,lstmccgjoint 4 alternative score,lstmccglm 0 correct (max),lstmccglm 0 correct (sample),lstmccglm 0 target score,lstmccglm 0 alternative score,lstmccglm 1 correct (max),lstmccglm 1 correct (sample),lstmccglm 1 target score,lstmccglm 1 alternative score,lstmccglm 2 correct (max),lstmccglm 2 correct (sample),lstmccglm 2 target score,lstmccglm 2 alternative score,lstmccglm 3 correct (max),lstmccglm 3 correct (sample),lstmccglm 3 target score,lstmccglm 3 alternative score,lstmccglm 4 correct (max),lstmccglm 4 correct (sample),lstmccglm 4 target score,lstmccglm 4 alternative score
0,0,HaskellMacDonald_0_SP,SP,Can you ask Brenda if the kid or the adults,are,is,100,93.21179772748177,-1.99701726436615,-4.616705417633057,100,90.8832123304188,-1.9994876384735107,-4.298945426940918,100,91.7046705293982,-2.508681297302246,-4.911561965942383,100,78.5064403058902,-2.2542202472686768,-3.549647569656372,100,95.85712528672435,-1.591574788093567,-4.733043670654297,100,88.45743480430359,-1.403336763381958,-3.43981671333313,0,44.161750529579116,-3.916538953781128,-3.681938886642456,100,85.92992117785701,-2.0404837131500244,-3.8499653339385986,100,82.39705870928695,-2.3814408779144287,-3.924924612045288,100,79.59668142454692,-1.9101070165634155,-3.2713818550109863
1,1,HaskellMacDonald_0_PS,PS,Can you ask Brenda if the kids or the adult,are,is,100,66.26210270178139,-2.859163522720337,-3.5341598987579346,100,57.29608018569024,-2.71204137802124,-3.0059828758239746,0,45.44262893354766,-3.363754272460937,-3.1809520721435547,100,84.0459715532779,-1.9530413150787356,-3.6146938800811768,100,82.83942255694733,-2.174643516540528,-3.748932838439941,0,49.69840415527293,-2.480884075164795,-2.468820095062256,100,87.11087940176633,-1.3571561574935913,-3.2679543495178223,100,57.18861531887575,-2.672344207763672,-2.961894989013672,100,60.70049826842509,-2.3333840370178223,-2.7681241035461426,100,91.29779105566806,-1.3867502212524414,-3.737299919128418
2,2,HaskellMacDonald_1_SP,SP,Do you know if the mouse or the monitors,were,was,0,43.86882041127853,-4.834654331207275,-4.5881667137146,100,77.07132914882484,-3.061877727508545,-4.274220943450928,0,37.837704473307326,-4.466032028198242,-3.9695894718170166,100,77.39788595486456,-2.5649619102478027,-3.795877933502197,100,51.382070296718354,-4.119070053100586,-4.1743669509887695,100,61.910680192252485,-3.2993123531341553,-3.7850711345672607,100,66.4113917060972,-2.687572479248047,-3.3692541122436523,100,88.83754371916878,-2.5730950832366943,-4.647348403930664,100,93.17841488595565,-2.456277847290039,-5.070702075958252,100,88.0587146637575,-2.3751816749572754,-4.373183727264404
3,3,HaskellMacDonald_1_PS,PS,Do you know if the mice or the monitor,were,was,0,41.89796516188183,-4.1122894287109375,-3.78532600402832,100,65.0121128927416,-3.3956427574157715,-4.015214443206787,0,43.245611236142736,-3.441283226013184,-3.1694459915161133,0,27.16238003323425,-3.59712290763855,-2.61072325706482,100,55.78309540438986,-3.5367767810821533,-3.769140481948853,100,70.32995788098668,-3.0040926933288574,-3.867152690887451,100,84.13506468653146,-2.3674535751342773,-4.035765647888184,100,51.674192887141515,-2.917095184326172,-2.9840879440307617,0,6.328347246822242,-5.542816162109375,-2.84805965423584,0,29.920836406535038,-3.9204776287078857,-3.0694072246551514
4,4,HaskellMacDonald_2_SP,SP,Do you think the soybean or the apples,are,is,100,93.9011924318672,-1.4517494440078735,-4.185899257659912,100,63.61215800932847,-2.117814064025879,-2.6763839721679688,100,87.9117278619445,-2.0113213062286377,-3.995418787002564,100,91.75534808832307,-1.6838380098342896,-4.0933990478515625,100,69.67840540841311,-2.203117847442627,-3.0351481437683105,100,99.69189599248497,-0.7199931144714355,-6.499395370483398,100,89.07744927060503,-1.6235921382904053,-3.72226881980896,100,92.28614115821809,-1.3308403491973877,-3.812715768814087,100,90.16349207895156,-1.5290874242782593,-3.7446112632751465,100,85.72996188438734,-1.714402675628662,-3.5074429512023926
5,5,HaskellMacDonald_2_PS,PS,Do you think the soybeans or the apple,are,is,0,40.3236575008161,-3.6567494869232178,-3.264752149581909,0,17.14445042259666,-4.186177730560303,-2.610753536224365,0,6.402138678338496,-5.796566486358643,-3.114191055297852,0,19.441459443926057,-4.295820236206055,-2.874243974685669,0,29.47127254300123,-4.6458587646484375,-3.773254632949829,100,83.49719369777466,-1.6307430267333984,-3.252025604248047,0,34.505828526007896,-3.1939849853515625,-2.553152084350586,100,63.943818006945364,-2.659287691116333,-3.2322142124176025,0,31.09744684440805,-3.5210094451904297,-2.7254419326782227,100,60.292973662668494,-3.3079304695129395,-3.7256178855895996
6,6,HaskellMacDonald_3_SP,SP,Have you heard whether the teacher or the principals,are,is,100,99.06183287997824,-1.2557423114776611,-5.915313720703125,100,95.28573393863776,-2.0291574001312256,-5.035444259643555,100,95.2288323107092,-1.9424808025360107,-4.9361724853515625,100,91.0178551663952,-1.737460970878601,-4.053277969360352,100,95.9968714848366,-2.010626792907715,-5.1878662109375,100,96.21604717129082,-1.6794705390930176,-4.915297508239746,100,98.4551012182839,-1.7033852338790894,-5.858027458190918,100,93.80744431723937,-1.804085373878479,-4.521981716156006,100,96.187017205247,-1.8193652629852295,-5.047247886657715,100,98.55864870288462,-1.5261948108673096,-5.751265525817871
7,7,HaskellMacDonald_3_PS,PS,Have you heard whether the teachers or the principal,are,is,0,42.36774259806458,-4.244511604309082,-3.936816453933716,100,70.20906124896406,-4.738029479980469,-5.595302581787109,0,37.6627379772451,-5.071788787841797,-4.567900657653809,100,55.56184330123044,-3.904232978820801,-4.127631187438965,100,81.80607073297044,-3.8720059394836426,-5.375269412994385,100,89.19489667390131,-2.403083086013794,-4.513888359069824,100,76.44139863895414,-3.419605255126953,-4.5966386795043945,100,64.6362124405999,-4.0380659103393555,-4.641152381896973,100,72.91939155911383,-2.9804153442382812,-3.970952033996582,100,71.72681586146119,-3.608185052871704,-4.539135932922363
8,8,HaskellMacDonald_4_SP,SP,How do I know if the shelf or the floors,are,is,100,82.83028309537697,-2.577941417694092,-4.151587963104248,100,83.70573975027898,-2.276173591613769,-3.912668228149414,100,72.62049463486365,-2.388563871383667,-3.36401629447937,100,76.34723974407531,-1.8752624988555908,-3.047074556350708,100,87.89866954936856,-1.8949164152145384,-3.877785682678223,100,62.30042567472661,-1.7195714712142944,-2.221890926361084,100,56.05982451954375,-2.6397509574890137,-2.8833413124084473,100,69.107178611066,-4.16560697555542,-4.9707417488098145,0,35.94326496184447,-2.812284469604492,-2.234457015991211,100,56.90782507653604,-2.784877061843872,-3.0629684925079346
9,9,HaskellMacDonald_4_PS,PS,How do I know if the shelves or the floor,are,is,0,12.376127170556153,-3.645520210266113,-1.688236117362976,0,31.668699317917483,-2.670295476913452,-1.9012563228607176,0,13.510944820974592,-3.709463357925415,-1.852945566177368,0,44.31878297717704,-2.421882152557373,-2.193647861480713,0,6.058320318617459,-3.89745569229126,-1.1562141180038452,0,21.48000919517616,-2.6093597412109375,-1.313129186630249,0,3.4145557817243906,-4.673755168914795,-1.3313745260238647,0,8.401345320055857,-3.666656494140625,-1.2776317596435547,0,29.068899499115435,-2.754847526550293,-1.8628073930740356,0,19.599412191987437,-3.092681884765625,-1.6811599731445312
